评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7256011531090232122,545万了，厉害吧，好作品大家都喜欢[呲牙],,0,2023-07-15 19:50:44,依晨亲亲,https://www.douyin.com/user/MS4wLjABAAAAfmcZhaxVPmDkhbNWsnsKxBlPGqXkwbKLXQJQyUaafGHj1bCgUJBczWVq9R_frioq,apple576709650,,7254263026702091040,7254263026702091040,
7255960112827908904,现在500多万赞了。播放量几十亿了,,0,2023-07-15 16:31:14,城固岳哥看房,https://www.douyin.com/user/MS4wLjABAAAAU0SwqpRTC055Q1uWzvQOHsyWXTMyIPNAngmn99Vzrj6Cq9dyZ1b-f4JLQL1ZFF3X,ypfc1234,,7254263026702091040,7254263026702091040,
7255932318500963133,你网太快了，来早了，现在523.2万了[色],,0,2023-07-15 14:43:23,Toám,https://www.douyin.com/user/MS4wLjABAAAAgONFFf3_7VlrSKABMkU7mwGFDLMJyKkvhoX1gCSZrUBuYxXNF8X6BNbNNP-UGXoj,25143302689,,7254263026702091040,7254263026702091040,
7255929885713089332,521.2万了[干饭人][干饭人],,0,2023-07-15 14:34:01,梅雨季_🖤,https://www.douyin.com/user/MS4wLjABAAAATer0jkw-zJZHfHOk9rdbFpulrJnkxdfZQQINvdTOeaA,xuyuc84575971,,7254263026702091040,7254263026702091040,
7255928764566569768,你来太早了，现在接近530万赞了,,0,2023-07-15 14:29:37,全素研,https://www.douyin.com/user/MS4wLjABAAAA0ED0NeB7trHfGxR0717CX-9DX4jT_7Y4NBLxdfRKyyk,quansuyan18,,7254263026702091040,7254263026702091040,
7255926366539989794,我家铁板下面每天都要掉很多黑炭[发呆]是不是也能做墨[发呆],,1,2023-07-15 14:20:15,🏂,https://www.douyin.com/user/MS4wLjABAAAARqgXuBsCCaktzi68qOPYGtzkfWbIY6QY3i3PgR87y2cgPXPRGReHRrPlcb-ihfOw,dsf2192,,7254263026702091040,7254263026702091040,
7255908314076332861,你那天11号，今天15号，才四天就已经五百多万了,,0,2023-07-15 13:10:17,何时亿,https://www.douyin.com/user/MS4wLjABAAAAdCzsFMyGe9fpICO2QgNlt58Y-_1-uUK3HjbT5rGskxVmyJf7hqKO5wCS6jZYer19,26857892304,,7254263026702091040,7254263026702091040,
7255870523216233227,这种高质量视频不负你的所望500W赞了[呲牙],,2,2023-07-15 10:43:35,IL IL IL,https://www.douyin.com/user/MS4wLjABAAAAEvPAD6bvkMPItNfCqLsLOtcQkEgC9DJoVc0_TXS-RdQ,kyo0826,,7254263026702091040,7254263026702091040,
7255749088774865679,四天  500万    不知道是不是中视频  播放量更多  知识就是财富,,1,2023-07-15 09:34:59,#..,https://www.douyin.com/user/MS4wLjABAAAAwiJYJpnWjzfSHZGSUSDEZ_1BzjFv0qAZ84RBH8CwiXU,,,7254263026702091040,7254263026702091040,
7255637576031503104,468万了,,0,2023-07-14 19:39:40,风华双娇,https://www.douyin.com/user/MS4wLjABAAAAHWcQSAFOUDtPQdUQEbSbEldmjkw3g7ewcUXPBWoUWDFhLYoJY-LTS3gXG9NIm9ez,43035604938,,7254263026702091040,7254263026702091040,
7255631951402320679,你找个美女拍你再看看，她穿个巴黎世家你再看看，露个马甲线你再瞅瞅,,0,2023-07-14 19:17:48,海颜（永劫无间手游）,https://www.douyin.com/user/MS4wLjABAAAAoqQivfgGhwjT49dZ4Si8hJJfv_mS6Hm8KkH3O_f_MVZ8rukD3jRMxkDLxrIOTJN7,68442151754,,7254263026702091040,7254263026702091040,
7255558276922180388,449.6[酷拽],,1,2023-07-14 14:31:59,阿米,https://www.douyin.com/user/MS4wLjABAAAAo2ZKxk9-0YpCNEMrNQLG7Zc8lio44WeOCkJC_Pa3ml0vr0eODe6EWrQarFAD-Nb5,94398775201,,7254263026702091040,7254263026702091040,
7255557867636359996,449.6万以上,,0,2023-07-14 14:30:15,csxin,https://www.douyin.com/user/MS4wLjABAAAAJEqbDvbW8QjOzZQlp6xi1Eb2r5q-swA5SbI1Cutj2nbCVjvaHKgXM7OaDLEqmNpb,wangyiwei80814,,7254263026702091040,7254263026702091040,
7255525665221985085,442.8万了，说明你是高质量抖友，刷的比较早,,1,2023-07-14 12:25:19,财神爷的小宝贝🌈,https://www.douyin.com/user/MS4wLjABAAAAWtLsU9QmRY4M69hf6DKX-ZOYKUV9nogAKXLcp7dMlaQ,guo0306.,,7254263026702091040,7254263026702091040,
7255520021878604599,好的视频要慢慢发酵的，现在已经437.7万赞啦，后面会更多，只是你刷到的比较早而已[捂脸][捂脸][捂脸],,1,2023-07-14 12:03:27,李家～丫头,https://www.douyin.com/user/MS4wLjABAAAABBDOOQ8Tcye1XALQFzr1pPPg86UjsoPFTQ1uuXKQlRI,,,7254263026702091040,7254263026702091040,
7255499834831438631,啊，我刷到的时候有432.6万赞啦,,3,2023-07-14 10:45:05,Flamingo,https://www.douyin.com/user/MS4wLjABAAAAyKBhy37qMe8h4MND2ClbwbXQo1igTGcVR1cCFOAprcY,dyjlwvhuk6c6,,7254263026702091040,7254263026702091040,
7255371169960067897,到我为止现在点赞数为429.1111万了,,1,2023-07-14 02:26:46,袁伟,https://www.douyin.com/user/MS4wLjABAAAA3o1jqd8pKaVONpjDCKWpmuGormhD7leR3qOHdGwky0c,SR140102,,7254263026702091040,7254263026702091040,
7255347359030674234,426了[色]坐在马桶上的我看的津津有味,,1,2023-07-14 00:53:49,用户0983628248022,https://www.douyin.com/user/MS4wLjABAAAAZaDLaEDJf-usGNN-hVR3of9KUWgfBC9J4NNatMRFmIl2qBugnwVStd8Jy1ZG7OCz,56675245894,,7254263026702091040,7254263026702091040,
7255334731067654968,422.3了[恐惧][恐惧]我也是你那个时候看到的，现在再看一遍居然这么多了[恐惧],,0,2023-07-14 00:04:34,无月绿植,https://www.douyin.com/user/MS4wLjABAAAAP9c9AYgScK2wY7KWu2W_ZjWfmCUVeSgfGuOwsbdJiJCe0A1KLnTQJC41BhVGGFUO,unbris,,7254263026702091040,7254263026702091040,
7255334561159824140,大哥评论用词好娶个媳妇不会跑,,0,2023-07-14 00:03:51,八零后油腻大叔,https://www.douyin.com/user/MS4wLjABAAAAYyZFIYbpNEXU90VaiCosKyNRTtYtpLAyRNMSbNsxuR0,,,7254263026702091040,7254263026702091040,
7255312117359018786,虽然割树取汁是真的，但是还要忍不住要说树流汁的哪个镜头明显就是有人在那往下倒[抠鼻],,0,2023-07-13 22:36:36,我喜欢,https://www.douyin.com/user/MS4wLjABAAAAjYx-zVpBR9kJQ4V7Ou8iDkdbwWkbMf9wv70T3Ev7gkk,,,7254263026702091040,7254263026702091040,
7255311203730260788,411.4万了,,0,2023-07-13 22:33:03,江流,https://www.douyin.com/user/MS4wLjABAAAAOH4kf5qIuvzkl6uA4HULWdUcuHWLT5UI3eT2jnH1rEw,,,7254263026702091040,7254263026702091040,
7255305501386212133,这400多w看来我是抖音最后推送的了[泪奔],,1,2023-07-13 22:10:57,33三三,https://www.douyin.com/user/MS4wLjABAAAA8FzAhaMthzvxf_Tyq_e_nXl5tfpz2u1P1lnKAEmDNp0,lxs200354,,7254263026702091040,7254263026702091040,
7255156800608682808,355.12万的点赞👍[玫瑰]买了12块来致敬🫡山白,,13,2023-07-13 12:33:55,天蝎族长,https://www.douyin.com/user/MS4wLjABAAAAJiCusOT9RNXfsrLrgn8RCzkDKMluO2mI7R-duu7kIhA,Tianxiezuzhang,,7254263026702091040,7254263026702091040,
7255151784665711420,可能你来得有点早~现在已经354万了,,0,2023-07-13 12:14:29,大何,https://www.douyin.com/user/MS4wLjABAAAA9zZ3oJ6iuLRwGnzFUOIoZ1SBtQosBz0vpFLCColwvj4,,,7254263026702091040,7254263026702091040,
7255143922221089595,352.5万了,,0,2023-07-13 11:44:00,@花姐@,https://www.douyin.com/user/MS4wLjABAAAA2v0P9Vkxe2NX3lYWHk56XvBEEadSDizE-wjX4-gBEg0,,,7254263026702091040,7254263026702091040,
7254907235430974243,295.7了,,1,2023-07-12 20:25:28,秋水、,https://www.douyin.com/user/MS4wLjABAAAAC92kVrtogOwd1k5u_GUj9sZ7--S45Mgn8RW5h2EDNY8,wmx020808,,7254263026702091040,7254263026702091040,
7254848407255302912,277.5W了[泣不成声],,3,2023-07-12 16:37:13,cc66M,https://www.douyin.com/user/MS4wLjABAAAAZ0jNNZZvaGrUGW2ZTiW1qbUGkPQic_hBtur9Xhuhm6g,cc66y816666,,7254263026702091040,7254263026702091040,
7254826048843727620,268万了，肤浅了吧这位来自河北的网友,,3,2023-07-12 15:10:32,清风雅香,https://www.douyin.com/user/MS4wLjABAAAAqZKZYlP19vG-33UL_NgCtG4T_Z-69IT9EInjfH7lTScx37UsZynmAeyUzC6A__j8,38730483937,,7254263026702091040,7254263026702091040,
7254811247760573195,258.6万了,,2,2023-07-12 14:13:01,Fred,https://www.douyin.com/user/MS4wLjABAAAAcmEp2d2sa4MyxLbsLzY4pIeYZl_e693lg-s700PszNw,,,7254263026702091040,7254263026702091040,
7254808231209141053,263万了[送心],,3,2023-07-12 14:01:19,holy.,https://www.douyin.com/user/MS4wLjABAAAApDV1m5Ke2eYjsrcF6R7t6NQlKyEjKHjdbTM4JpCWB1c,bazhahei3759,,7254263026702091040,7254263026702091040,
7254615821912310543,那是你来早了，现在两百多了[看],,7,2023-07-12 01:34:53,蓝 桉,https://www.douyin.com/user/MS4wLjABAAAAnyZ9bHXWoDDQEh8n9pwxzuGrub_CudMS9whC70ofNVM,,,7254263026702091040,7254263026702091040,
7254489052677800759,6 分钟多了一万 看的时候 112.0w 看完 113.0w[泣不成声],,32,2023-07-11 17:22:46,我是小皇帝,https://www.douyin.com/user/MS4wLjABAAAABBuOOw50j5DU1Gohc0bvCkjbjublbd2Cld1hbe14vQ0,Onlyfor_Bestofme,,7254263026702091040,7254263026702091040,
